,a0,a0_err,Chi2,Pval,Chi2NDF
3.4245363507596394,7.910992689807666e-07,4.1813910869191274e-08,664.5675873876213,2.726366766693314e-140,110.76126456460355
3.4287784353678896,2.894267133845759e-06,1.0084443087049291e-07,137.28136243577404,3.754191983302965e-27,22.88022707262901
3.4304666993432944,1.958502793677175e-06,8.097603232440027e-08,366.27570084811026,4.9375451947048614e-76,61.04595014135171
3.4339203561051628,4.093774919463844e-06,1.358106487725722e-07,132.7265487671415,3.425375695927741e-26,22.12109146119025
3.4357371680989996,4.70570335364163e-06,1.6012149199019625e-07,96.41067804661778,1.4055977788639627e-18,16.068446341102963
3.4365427356811726,5.0270595582037755e-06,1.6802502667412953e-07,43.23081055547611,1.0499674157386088e-07,7.205135092579352
3.4408619491004813,4.732777489950338e-06,1.4726456498763464e-07,79.61651653740161,4.287655978928633e-15,13.269419422900269
3.444324175730245,4.957340086228568e-06,1.4313644408550847e-07,44.5431086434608,5.767781852253545e-08,7.4238514405768
3.445018335029777,3.848364074860513e-06,1.4019166046981365e-07,143.1475027686716,2.170332745402201e-28,23.857917128111932
3.44940610739225,4.825573287463224e-06,1.6058418414256105e-07,52.66634785972775,1.3695532470569457e-09,8.777724643287959
3.453639622132605,3.990690918134195e-06,1.3709033252891692e-07,299.2926707808267,1.1596544171752302e-61,49.88211179680445
3.45806167396666,3.556738676324073e-06,1.1879817624343648e-07,57.52196164838408,1.4322514588239734e-10,9.586993608064013
3.659299311887736,6.699334686072512e-06,1.697653010987317e-07,10.28157581143259,0.11328417180066912,1.7135959685720985
3.676516176489705,5.401249625867006e-06,1.4831294416461995e-07,14.927511692857955,0.020828065826936294,2.487918615476326
3.6774331523545185,5.302061488983794e-06,1.5984369326384937e-07,33.8214740503973,7.282975474269552e-06,5.6369123417328835
3.6792071150088783,4.830171866650248e-06,1.510007870497769e-07,25.1788337543969,0.0003163754143509768,4.196472292399483
3.680072671666319,5.144222633274117e-06,1.667013268105926e-07,40.08603070753543,4.381215813473961e-07,6.681005117922571
3.680886809116387,6.087782718292073e-06,1.9043420023766914e-07,16.18040862221285,0.012817709767449283,2.696734770368808
3.6817437959059327,5.470031171147112e-06,1.9107491918009335e-07,48.81745548808116,8.110212794977187e-09,8.13624258134686
3.682660771770746,6.551676029712382e-06,2.3536938486552461e-07,62.97439147565186,1.11709572730136e-11,10.495731912608644
3.683397780409756,9.968905565148687e-06,4.3488207353515837e-07,27.779906802403094,0.00010336678179204717,4.629984467067183
3.684263337067197,1.3135587680734492e-05,6.04176842706494e-07,22.894843262174344,0.0008324741715888696,3.8158072103623906
3.685943031174706,1.7997826750255306e-05,8.272800549407533e-07,31.27389828552273,2.2472059642510136e-05,5.212316380920455
3.6876998540932737,1.903417180370353e-05,8.020313237090885e-07,27.29429171398169,0.0001275309192938097,4.549048618996948
3.689525235955006,1.5331063194183552e-05,7.238265576976804e-07,61.56857621568817,2.159624305301625e-11,10.26142936928136
3.6912563492698878,2.0548622909248553e-05,8.869961504394999e-07,2.3205835274682336,0.887982109793347,0.3867639212447056
3.6930131721884565,1.8951772697796862e-05,8.476275932225775e-07,34.28831607080905,5.9176273524627765e-06,5.714719345134842
3.6935787834695564,1.973120663600069e-05,8.409216604057622e-07,55.29834621503098,4.03496417265561e-10,9.216391035838496
3.6946157374849062,1.91463927059541e-05,8.132108858260115e-07,22.633949798899046,0.0009288202497738257,3.772324966483174
3.6962782918566246,1.606516628987352e-05,7.457085344009456e-07,66.5277244372609,2.1023285679832195e-12,11.087954072876817
3.6980094051715064,1.8786297772120898e-05,8.3231375880604e-07,18.11696951894404,0.0059464352710998,3.0194949198240066
3.6997833678258654,1.778330486952327e-05,7.644954044043449e-07,31.08007466717945,2.4472318130326883e-05,5.1800124445299085
3.70147163180127,1.8870496291091492e-05,8.293976676216141e-07,9.964862318160302,0.1261395639082588,1.6608103863600503
3.703177035512466,1.8572334481706138e-05,7.730170931682702e-07,15.808787796971654,0.014817919768451752,2.6347979661619423
3.704736751469439,1.76498610519683e-05,7.155936649299657e-07,8.931337580289826,0.17747658117828288,1.4885562633816376
3.7066478320101255,1.1430604743686564e-05,5.007087800349582e-07,67.59350376199141,1.2725155578513578e-12,11.265583960331902
3.7082761069102617,1.1991793684526366e-05,4.6576050117006095e-07,34.461695870876866,5.478053720780089e-06,5.743615978479478
3.7099643708856664,1.0172559816317087e-05,3.7859417964826716e-07,116.64662846971272,8.242342655716298e-23,19.44110474495212
3.7108556371467936,1.2048950391135321e-05,4.811596002356132e-07,17.662686829705066,0.007132834860179038,2.943781138284178
3.7117726130116075,1.75651672271995e-05,5.057067539148315e-07,9.353032194944523,0.1546755104870619,1.5588386991574206
3.713529435930176,1.8100814578956773e-05,4.6796069561273357e-07,19.398819393211785,0.003540517713759412,3.2331365655352973
3.7151662806982073,1.6847940072139578e-05,4.188880303406928e-07,10.025853839147153,0.123567472058435,1.6709756398578588
3.719356946099085,1.5155159537171175e-05,3.696568356843234e-07,11.323855281767793,0.07886836054390059,1.8873092136279654
3.723504762160485,1.600418761051873e-05,3.8446465984307566e-07,8.434235969849892,0.20798407792527915,1.405705994974982
3.727875394787168,1.5352178070720233e-05,3.595595948945064e-07,4.157322746811957,0.6553958604078887,0.6928871244686595
3.745075119653346,1.0476418421926399e-05,2.6506911317261466e-07,15.003759474608778,0.020227494951770588,2.500626579101463
3.7623005541232106,1.4109556649526539e-05,3.4522121578499925e-07,22.058463215996376,0.0011816866300784518,3.676410535999396
3.779337451499375,2.0901064310478023e-05,4.902906027502251e-07,10.675800525698595,0.0989280570457243,1.7793000876164324
3.7880872866206348,3.074888707087491e-05,7.138379567297592e-07,14.387902524379683,0.02559081597487607,2.3979837540632807
3.796605735308717,4.093841472068449e-05,9.046259514011271e-07,4.160257199742222,0.654999334694528,0.693376199957037
3.805055625053636,8.809954858524358e-05,1.9902924713786395e-06,6.474503012955857,0.3721836547559311,1.0790838354926429
3.8135397942701363,0.00014687980630370286,3.2080885495497156e-06,2.9111457485778507,0.8199135481729826,0.48519095809630847
3.8178675775573416,0.00041016523122567027,8.937791593940712e-06,7.763262982819835,0.2559654146801346,1.293877163803306
3.8222639197877095,0.0006610259365144183,1.402066205213031e-05,5.163161686415494,0.5230633709802965,0.8605269477359156
3.830696669796837,0.0007248671022647572,1.5055919634651714e-05,4.0282875552836845,0.6728481754709033,0.6713812592139474
3.8375697038489927,0.0005910582835855155,1.2412405018692008e-05,8.267818027721537,0.21913156824832095,1.377969671286923
3.8445541461837887,0.000304143856616902,6.3848960099385005e-06,5.951933976365862,0.4285959891254134,0.991988996060977
3.8463195389702522,0.00023367601437563137,4.921932526470296e-06,6.010780673004567,0.4219835059898045,1.0017967788340945
3.847930674134597,0.0002975112589454445,6.192160788380933e-06,9.986153598587585,0.1252363338600844,1.6643589330979307
3.84977319573212,0.0001316088256500288,2.7708899391709567e-06,8.629927482261941,0.19548511869983035,1.4383212470436568
3.852147049139162,9.415331321987566e-05,1.945134826107627e-06,2.256563535076138,0.8946555534411536,0.37609392251268964
3.8564148433510974,5.4395284715377966e-05,1.1512384150316388e-06,5.223196683686913,0.5155217861551633,0.8705327806144855
3.865190388076044,2.8854967121897186e-05,6.321528079895637e-07,9.462939433217223,0.149167502327887,1.5771565722028704
3.8668786520514487,2.224040346289247e-05,5.980095699816741e-07,8.134114583012575,0.22844151212157518,1.3556857638354292
3.869363913741131,2.281737715681579e-05,8.135904676796422e-07,7.7909891022683,0.25381943166657545,1.2984981837113834
3.8736402778209627,2.6937182657543374e-05,1.0182133747794582e-06,5.607350202911307,0.46857808980239346,0.9345583671518845
3.878070899522913,3.595209495029354e-05,1.5370995705745384e-06,15.15079997243952,0.019115705303717367,2.52513332873992
3.8816445344353174,3.386620052838281e-05,1.311827409001704e-06,15.405288896878591,0.017328193813430537,2.5675481494797654
3.8864865097962498,7.101258103677862e-05,2.6662732343883247e-06,14.605637987192111,0.023556013265867898,2.4342729978653517
3.8909257013660956,0.0001097935052612522,3.957341905839493e-06,10.385083437404129,0.1093441965912872,1.7308472395673549
3.899118495074151,0.00025985257383662045,5.883292179870965e-06,5.780603915096492,0.4482104319551371,0.9634339858494153
3.908014017949633,0.0006605207066002613,1.4657900956653828e-05,7.530762093429978,0.274534166927739,1.255127015571663
3.9165410365056115,0.0006521101761697013,1.4547778499851616e-05,5.920507019627827,0.43215367788514225,0.9867511699379712
3.925025205722112,0.00035135225756723293,8.596331696843912e-06,3.1124656982215932,0.7946046365505356,0.5187442830369322
3.933637922957044,0.000186639760270205,4.533628669688229e-06,8.021080958683308,0.2365629268600838,1.336846826447218
3.9423706183425127,9.39023672258663e-05,2.6460686366176997e-06,8.431718385605066,0.20814913272462313,1.4052863976008443
3.9507005299368947,9.237175580215795e-05,2.984438315909629e-06,5.998688228380042,0.4233370430314378,0.9997813713966736
3.959476074661841,6.204220351563292e-05,2.6462838217077236e-06,23.269969887056156,0.0007109214728650862,3.878328314509359
3.9677974163883283,5.934355746234037e-05,2.1236406400125203e-06,7.518561229126578,0.2755371303674348,1.253093538187763
3.9722794572976503,3.983521961917508e-05,1.4646799808083504e-06,9.022403203204924,0.17232204539890625,1.5037338672008207
3.976384424019573,4.3907894918982376e-05,1.358788138262381e-06,3.329343749259293,0.7665186840374306,0.5548906248765488
3.9849542919150287,9.421827891193799e-05,2.290179456625193e-06,5.084212054504741,0.5330586191902806,0.8473686757507902
4.002231145592266,6.33766595042271e-05,1.4732963400569829e-06,3.5270246519257555,0.7403707811071538,0.5878374419876259
4.010826723091408,2.8897248728244816e-05,7.241075076620276e-07,6.655495646951235,0.353884378718873,1.1092492744918725
